# Topology Configuration File for N=32 clients
# Format: ClientID: neighbor1, neighbor2, neighbor3, ...
# CHORD Finger Table: (i + 2^k) mod 32 for k = 0, 1, 2, 3, 4

# Finger pattern: +1, +2, +4, +8, +16

0: 1, 2, 4, 8, 16, 31
1: 2, 3, 5, 9, 17, 0
2: 3, 4, 6, 10, 18, 0, 1
3: 4, 5, 7, 11, 19, 1, 2
4: 5, 6, 8, 12, 20, 0, 2, 3
5: 6, 7, 9, 13, 21, 1, 3, 4
6: 7, 8, 10, 14, 22, 2, 4, 5
7: 8, 9, 11, 15, 23, 3, 5, 6
8: 9, 10, 12, 16, 24, 0, 4, 6, 7
9: 10, 11, 13, 17, 25, 1, 5, 7, 8
10: 11, 12, 14, 18, 26, 2, 6, 8, 9
11: 12, 13, 15, 19, 27, 3, 7, 9, 10
12: 13, 14, 16, 20, 28, 4, 8, 10, 11
13: 14, 15, 17, 21, 29, 5, 9, 11, 12
14: 15, 16, 18, 22, 30, 6, 10, 12, 13
15: 16, 17, 19, 23, 31, 7, 11, 13, 14
16: 17, 18, 20, 24, 0, 8, 12, 14, 15
17: 18, 19, 21, 25, 1, 9, 13, 15, 16
18: 19, 20, 22, 26, 2, 10, 14, 16, 17
19: 20, 21, 23, 27, 3, 11, 15, 17, 18
20: 21, 22, 24, 28, 4, 12, 16, 18, 19
21: 22, 23, 25, 29, 5, 13, 17, 19, 20
22: 23, 24, 26, 30, 6, 14, 18, 20, 21
23: 24, 25, 27, 31, 7, 15, 19, 21, 22
24: 25, 26, 28, 0, 8, 16, 20, 22, 23
25: 26, 27, 29, 1, 9, 17, 21, 23, 24
26: 27, 28, 30, 2, 10, 18, 22, 24, 25
27: 28, 29, 31, 3, 11, 19, 23, 25, 26
28: 29, 30, 0, 4, 12, 20, 24, 26, 27
29: 30, 31, 1, 5, 13, 21, 25, 27, 28
30: 31, 0, 2, 6, 14, 22, 26, 28, 29
31: 0, 1, 3, 7, 15, 23, 27, 29, 30

# Maximum routing hops: ceil(log2(32)) = 5
